osm_id,osm_type,population,is_in,admin_level,boundary,name,place,longitude,latitude,geom_type
"10943902025",nodes,,,,,Norgyetoed,hamlet,89.543451,26.8887431,POINT
"10943902021",nodes,,,,,Gyengu,village,89.5761686,26.8380145,POINT
"10943902022",nodes,,,,,Chhumelakha,village,89.5599324,26.8371853,POINT
"10943902018",nodes,,,,,Shingcheykha,village,89.5939728,26.8738614,POINT
"10943876370",nodes,,,,,Meritsemo,village,89.5992515,26.898176,POINT
"9349143817",nodes,,,,,Lachhungthang,hamlet,89.1899901,26.8295321,POINT
"9349082911",nodes,,,,,Gashingma,hamlet,89.1888303,26.8543744,POINT
"9349082912",nodes,,,,,Goenpakha,hamlet,89.1953727,26.8620966,POINT
"10635712725",nodes,,,,,Domtshang,hamlet,89.2179394,26.8806062,POINT
"10635712724",nodes,,,,,Kutebari,hamlet,89.2184901,26.9033189,POINT
"10635712726",nodes,,,,,Gopini,village,89.2110979,26.8955305,POINT
"10635712722",nodes,,,,,Gangtokha,hamlet,89.2339718,26.9053663,POINT
"10635712721",nodes,,,,,Holuna,hamlet,89.2389125,26.9052324,POINT
"10635712719",nodes,,,,,Pangzhgingongma,hamlet,89.2474794,26.8915117,POINT
"10635712718",nodes,,,,,Pangzhingwongma,village,89.2558801,26.896272,POINT
"10635565245",nodes,,,,,Gidaibir,village,89.2715013,26.8366987,POINT
"10635712740",nodes,,,,,Yoezergang,isolated_dwelling,89.196968,26.8923657,POINT
"10635712744",nodes,,,,,Chirlogsa,hamlet,89.16888,26.8986497,POINT
"2973775786",nodes,,,,,་བསམ་རྩེ,town,89.0913048,26.8993207,POINT
"10635712765",nodes,,,,,Nyimaling Maed,hamlet,89.1134655,26.9046009,POINT
"10635712763",nodes,,,,,Kothridrangra,hamlet,89.124527,26.8961716,POINT
"6127938839",nodes,,,,,Lataguri,village,88.7689841,26.706542,POINT
"2603868583",nodes,,,,,,village,89.2992365,28.1583516,POINT
"1894295216",nodes,,,,,,hamlet,89.4682876,26.7477915,POINT
"9309493632",nodes,,,,,Tagtshang,hamlet,89.3616841,27.4944353,POINT
"9344939288",nodes,,,,,Doongna,village,89.3954916,27.0332831,POINT
"697274422",nodes,,,,,Jaigaon,town,89.3767318,26.854859,POINT
"9240449706",nodes,,,,,Walunang,village,89.6035051,27.4135572,POINT
"9240449704",nodes,,,,,Jamdowoma,hamlet,89.5694518,27.380742,POINT
"6239171086",nodes,,,,,Sigyel,hamlet,89.5884036,27.3889247,POINT
"9209550349",nodes,,,,,Gida,hamlet,89.5697542,27.4052085,POINT
"10310601389",nodes,,,,,Jamisa,village,89.6106183,27.4039137,POINT
"9240635523",nodes,,,,,Zamto,hamlet,89.6462134,27.3258629,POINT
"4910671325",nodes,,,,,Chang bangdu,neighbourhood,89.6497678,27.4520754,POINT
"11223643444",nodes,,,,,Yugilumpa,village,89.8099387,27.5268163,POINT
